"Time,""Car.Road.Route.DevAng"",""RPSensor.RP00.Path.DevDist"",""RPSensor.RP00.Route.CurveXY"",""Vhcl.Steer.Ang"""
"s,""deg"",""m"",""1/m"",""deg"""
0.831,-0.6503163642,-0.04756054655,0.01381345186,3.707242377
0.841,-0.6404563455,-0.04706450179,0.009255205281,3.660403499
0.851,-0.620369719,-0.04655924067,0.004652070813,3.57225521
0.861,-0.590156323,-0.04604803771,4.600975444e-006,3.443269218
0.871,-0.5499264542,-0.04553426057,-0.004686679225,3.27396163
0.881,-0.4997998545,-0.04502134025,-0.009421256371,3.064888039
0.891,-0.4399042697,-0.04451275617,-0.01419862732,2.816638403
0.901,-0.3703744626,-0.04401202127,-0.0190182887,2.529831708
0.911,-0.2913511459,-0.04352264479,-0.02387972176,2.205111058
0.921,-0.2029813687,-0.04304813594,-0.02878239192,1.843145172
0.931,-0.1054357657,-0.04259200394,-0.03334350139,1.444623472
0.941,-0.01161227659,-0.04216088355,-0.02870929986,1.052245848
0.951,0.06718925989,-0.04176948592,-0.02404068038,0.7207248911
0.961,0.1308387341,-0.04142474756,-0.01933820546,0.4511302195
0.971,0.1796164648,-0.04112444445,-0.01460239384,0.2424301813
0.981,0.2139933549,-0.04086266086,-0.009833729826,0.09263757833
0.991,0.2344410742,-0.04063343629,-0.00503265718,-0.0003006876855
1.001,0.2413575481,-0.04043155909,-0.000199594404,-0.03813415456
1.011,0.2350826318,-0.0402520597,0.004665059969,-0.02235661554
1.021,0.2159404658,-0.04008967429,0.009560920298,0.04561057723
1.031,0.184265716,-0.03993882984,0.01448759716,0.1643023131
1.041,0.1404062019,-0.03979394957,0.01944469102,0.3321978928
1.051,0.0847149055,-0.03964967281,0.02443177998,0.5477566418
1.061,0.01754118029,-0.03950096294,0.02944840305,0.8094568951
1.071,-0.06077461817,-0.03934314102,0.03449404612,1.11581997
1.081,-0.1499018193,-0.03917183354,0.03956812993,1.465413608
1.091,-0.2495181036,-0.038982898,0.04466998577,1.856845038
1.101,-0.3593068077,-0.03877231106,0.04979884997,2.288748861
1.111,-0.478953903,-0.03853609413,0.05495383218,2.759772167
1.121,-0.6081486426,-0.03827029467,0.06013389677,3.268574958
1.131,-0.7465840414,-0.03797099739,0.06533784419,3.813833032
1.141,-0.8929522783,-0.03763435408,0.06755748391,4.392855079
1.151,-1.023390326,-0.0372482352,0.06035994738,4.91817775
1.161,-1.127640467,-0.03679058701,0.05312556773,5.284422323
1.171,-1.206096077,-0.03625833988,0.0458560288,5.548764312
1.181,-1.259853296,-0.03566416353,0.0385527499,5.727737471
1.191,-1.290109221,-0.03502133489,0.03121691011,5.825699462
1.201,-1.297840782,-0.03433853388,0.02384946495,5.846231012
1.211,-1.283779983,-0.03362139314,0.01645118184,5.791994185
1.221,-1.24852468,-0.03287506476,0.009022681043,5.665142201
1.231,-1.192647221,-0.03210532293,0.001564471982,5.467722834
1.241,-1.116749303,-0.03131842241,-0.005923002958,5.20188418
1.251,-1.021462505,-0.03052050807,-0.01343932655,4.845906235
1.261,-0.9075018623,-0.02971932851,-0.02098405734,4.377344999
1.271,-0.7758144238,-0.028928563,-0.02855668217,3.837422371
1.281,-0.6273873117,-0.02816237137,-0.03615656495,3.230462075
1.291,-0.463065762,-0.02743131295,-0.04378289357,2.560176745
1.301,-0.2835351414,-0.02674295008,-0.05143461376,1.829552668
1.311,-0.08937903105,-0.02610363252,-0.05911036953,1.041107944
1.321,0.1188599827,-0.02551952749,-0.06680841744,0.1971730264
1.331,0.3406512661,-0.02499658801,-0.07452658564,-0.6999848076
1.341,0.5673918354,-0.02454284206,-0.07643981278,-1.62231213
1.351,0.7876839055,-0.02417521924,-0.0778683275,-2.517974712
1.361,1.001226041,-0.02390570007,-0.07930620015,-3.384324257
1.371,1.208161889,-0.02373722196,-0.08075339347,-4.221717
