"Time,""Car.Road.Route.DevAng"",""RPSensor.RP00.Path.DevDist"",""RPSensor.RP00.Route.CurveXY"",""Vhcl.Steer.Ang"""
"s,""deg"",""m"",""1/m"",""deg"""
0.811,0.2726854657,-0.003189982148,0.02269605361,-1.604247026
0.821,0.2122040054,-0.003427451709,0.01822491176,-1.884690653
0.831,0.1596536756,-0.003744508838,0.01370868459,-1.948016753
0.841,0.1153521735,-0.004133670125,0.009147975594,-1.985325382
0.851,0.08018462899,-0.004575792234,0.004543343559,-2.283484066
0.861,0.05372550922,-0.005085633136,-0.0001046713078,-2.425773773
0.871,0.03598172777,-0.00566252321,-0.004795572255,-2.433940545
0.881,0.0279942215,-0.006281180773,-0.009528901428,-2.709411687
0.891,0.02962776401,-0.006948471535,-0.01430418715,-2.936417513
0.901,0.04055409599,-0.007671797182,-0.01912096702,-2.942873963
0.911,0.06174559229,-0.008425158449,-0.02397880144,-3.169986724
0.921,0.09341517938,-0.009205261245,-0.02887720428,-3.488067576
0.931,0.1349022165,-0.01002674364,-0.03325986117,-3.539894199
0.941,0.1737989978,-0.01087212004,-0.02862997912,-3.701831586
0.951,0.1999050888,-0.01174050849,-0.02396481857,-4.074404756
0.961,0.2120478582,-0.01266594231,-0.01926504634,-4.215945917
0.971,0.2099473481,-0.01365653984,-0.01453125756,-4.28819011
0.981,0.1941536158,-0.01470305026,-0.009763992392,-4.628354459
0.991,0.1639184218,-0.01583175361,-0.004963798914,-4.845501547
1.001,0.118590377,-0.01706283353,-0.0001311942469,-4.856408079
1.011,0.05880729685,-0.01838479005,0.004733351525,-5.099018113
1.021,-0.01567063221,-0.0198125504,0.009629326873,-5.396736249
1.031,-0.1058701097,-0.02137836814,0.0145561751,-5.423183596
1.041,-0.2115012429,-0.02307948843,0.01951336674,-5.559045454
1.051,-0.3323151266,-0.02491889335,0.02450031228,-5.905119624
1.061,-0.4693861418,-0.02693329938,0.02951627411,-6.023498332
1.071,-0.622981466,-0.02913556807,0.03456048667,-6.057750024
1.081,-0.7924572474,-0.03151880577,0.03963213786,-6.361768156
1.091,-0.9784280428,-0.03411123902,0.04473016784,-6.583473115
1.101,-1.181638877,-0.03694098815,0.04985336587,-6.569221071
1.111,-1.401438213,-0.04000097141,0.05500049144,-6.751511995
1.121,-1.637750065,-0.04330348596,0.06017002463,-7.053902835
1.131,-1.89155606,-0.04688617587,0.06536009908,-7.087306303
1.141,-2.161665077,-0.05075451359,0.06755129993,-7.142010143
1.151,-2.424061956,-0.05489805713,0.06038312241,-7.453915437
1.161,-2.669465324,-0.05932560563,0.05318289995,-7.607551155
1.171,-2.898013493,-0.06403196603,0.04595204443,-7.587075955
1.181,-3.10860616,-0.06898098439,0.03869125992,-7.814597247
1.191,-3.301077055,-0.07416364551,0.03140118346,-8.090642766
1.201,-3.476027873,-0.07958692312,0.02408232354,-8.095278757
1.211,-3.632719034,-0.08522114903,0.01673447527,-8.187371908
1.221,-3.770281183,-0.0910372436,0.00935719721,-8.506828402
1.231,-3.889228931,-0.09704107791,0.001950313104,-8.623459862
1.241,-3.989506356,-0.1032194048,-0.005486753769,-8.604039926
1.251,-4.069922871,-0.1095318571,-0.01295504719,-8.845571644
1.261,-4.130383708,-0.1159688979,-0.02045520581,-9.093485321
1.271,-4.171402837,-0.1225325689,-0.02798768692,-9.076531937
1.281,-4.192104714,-0.129187867,-0.03555341437,-9.17984282
1.291,-4.191649652,-0.1359048039,-0.04315306619,-9.494653078
1.301,-4.170566992,-0.1426873207,-0.05078660697,-9.595425692
1.311,-4.128708604,-0.149518013,-0.05845403299,-9.580140582
1.321,-4.064832246,-0.1563539207,-0.06615534425,-9.827852768
1.331,-3.978829916,-0.1631835103,-0.07388958335,-10.06317328
1.341,-3.877951007,-0.1700063199,-0.07632774115,-10.03539063
1.351,-3.773652308,-0.1767957211,-0.07776216418,-10.12671624
1.361,-3.665526995,-0.1835351437,-0.07920739055,-10.42281861
1.371,-3.554303338,-0.1902421862,-0.08066336066,-10.50208211
1.381,-3.440048143,-0.1969136447,-0.0821300298,-10.46437263
1.391,-3.321757161,-0.2035213709,-0.08360739797,-10.68654588
1.401,-3.199571263,-0.2100689113,-0.08509536088,-10.90491984
1.411,-3.074221066,-0.2165710479,-0.08659375459,-10.86140812
1.421,-2.945044256,-0.2230059654,-0.08810247481,-10.93022655
1.431,-2.811386414,-0.2293560356,-0.08962138742,-11.20784899
1.441,-2.673965992,-0.2356379628,-0.09115023166,-11.27602111
1.451,-2.532889925,-0.2418489456,-0.0926887542,-11.21422326
1.461,-2.387135178,-0.2479595542,-0.09423674643,-11.40533367
1.471,-2.236755752,-0.2539705336,-0.09579385817,-11.60800076
1.481,-2.082483332,-0.259896338,-0.09735970199,-11.54601423
1.491,-1.923694236,-0.2657150924,-0.09893390536,-11.57100674
1.501,-1.759644079,-0.2714058757,-0.1005160511,-11.82069883
1.511,-1.591622915,-0.2769834995,-0.1006893963,-11.88357158
1.521,-1.432171183,-0.2824531794,-0.09692556411,-11.79188311
1.531,-1.285230971,-0.2878008783,-0.09314886481,-11.94292421
1.541,-1.150930345,-0.2930411696,-0.08936156332,-12.14036706
1.551,-1.030208456,-0.2982068956,-0.08556576818,-12.07254926
1.561,-0.9227077848,-0.3032962084,-0.08176324517,-12.05833051
1.571,-0.8277462746,-0.3083032966,-0.07795559615,-12.28321449
1.581,-0.7460382132,-0.3132588565,-0.0741443485,-12.35107243
1.591,-0.6780447986,-0.3181834221,-0.07033079863,-12.23192063
1.601,-0.6229027588,-0.3230649233,-0.06651596725,-12.33380656
1.611,-0.5804930991,-0.327914387,-0.0627008006,-12.52969725
1.621,-0.551722207,-0.3327668011,-0.05888616666,-12.46675364
1.631,-0.5363550813,-0.3376250863,-0.05507278442,-12.40411994
1.641,-0.5335572117,-0.3424805105,-0.05126135424,-12.59634965
1.651,-0.5438534553,-0.3473609388,-0.04745253548,-12.6829556
1.661,-0.5678314221,-0.352291882,-0.04364680871,-12.54566281
1.671,-0.6046710623,-0.3572631478,-0.03984439373,-12.58825929
1.681,-0.648241534,-0.3622788191,-0.0413100794,-12.77772191
1.691,-0.6803594324,-0.3673574626,-0.04547282681,-12.7242808
1.701,-0.6993339119,-0.3724817634,-0.04965045676,-12.60914942
1.711,-0.7040931665,-0.3776144981,-0.05384356529,-12.75332106
1.721,-0.6948163286,-0.3827527463,-0.0580525063,-12.85216756
1.731,-0.6720835907,-0.3878997862,-0.06227748841,-12.70250701
1.741,-0.6350696739,-0.393021971,-0.06651870161,-12.68762745
1.751,-0.5830821144,-0.3980930746,-0.07077613473,-12.86893482
1.761,-0.5167940593,-0.4031209946,-0.07504945248,-12.83928839
1.771,-0.4362449423,-0.4080933034,-0.07933820039,-12.68746523
1.781,-0.3403432405,-0.4129705727,-0.0836417973,-12.78499436
1.791,-0.2290453847,-0.4177432358,-0.08795925975,-12.90843893
